127.0.0.1 - - [30/Apr/2019:08:41:32 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/torino.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/verona.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/zenoa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/milan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/img/serie/samp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/img/serie/udinese.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/isotope.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/jquery.scrollTo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/smooth.scroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/jquery.appear.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:43 +0900] "GET /TermProject/assets/js/jquery.countTo.js HTTP/1.1" 304 -
